benchmark_run_id,run_id,mission,scenario,seed_range_start,seed_range_end,strategy,profile,total_runs,success_rate,avg_task_completion_rate,avg_detection_ticks,avg_reallocation_ticks,avg_messages_attempted,avg_messages_dropped,avg_tasks_injected,avg_tasks_expired,avg_conflicting_assignments,avg_network_availability,avg_relay_reallocation_ticks,avg_avg_hop_count,avg_disconnected_agents_max,avg_coverage_progress,avg_bytes_sent,avg_stale_state_age_ticks,avg_battery_margin_min,avg_battery_margin_avg,time_to_find,probability_of_detection,targets_found,safety_violations,belief_entropy_final,false_positive_rate,confirmation_scans,convergence_ticks_p50,convergence_ticks_p95,avg_bundle_travel_distance,avg_edge_coverage_rate,avg_missed_edges,avg_revisit_count,avg_route_efficiency,avg_route_length,avg_wasted_travel,avg_return_reserve,avg_infeasible_routes,avg_hazard_zones_mapped,avg_priority_updates,avg_final_threat_level,avg_high_priority_zones_mapped,avg_time_to_map_first_high_risk,avg_zone_observations,avg_urban_route_length_m,avg_urban_route_risk_score,urban_route_planned_rate,avg_urban_violation_count,urban_route_completed_rate,urban_patrol_completed_rate,avg_urban_time_to_complete_loop,avg_urban_distance_travelled_m,avg_urban_route_efficiency,avg_urban_replan_count,bus_detection_rate,avg_time_to_detect_bus,avg_false_positive_count,avg_distance_before_detection,search_success_without_violation_rate,avg_urban_min_agent_separation_m,avg_urban_separation_violation_count,avg_urban_route_conflict_count
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_ideal-single-failure,coverage,coverage,0,1000,auction,coverage/ideal-single-failure,1000,1.000,1.000,3.000,0.000,1133.550,36.000,0.000,0.000,0.000,0.975,0.000,1.000,1.000,1.000,50219.406,4.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_light-loss-cascade-failure,coverage,coverage,0,1000,auction,coverage/light-loss-cascade-failure,1000,1.000,1.000,2.248,0.000,9857.394,3153.762,0.000,0.000,0.000,0.982,0.000,1.000,2.866,1.000,447350.670,134.940,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_light-loss-multiple-failures,coverage,coverage,0,1000,auction,coverage/light-loss-multiple-failures,1000,1.000,1.000,2.350,0.000,8998.776,2133.550,0.000,0.000,0.000,0.981,0.000,1.000,1.937,1.000,408347.829,111.622,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_light-loss-no-failures,coverage,coverage,0,1000,auction,coverage/light-loss-no-failures,1000,1.000,1.000,0.000,0.000,90.000,4.499,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_light-loss-single-failure,coverage,coverage,0,1000,auction,coverage/light-loss-single-failure,1000,1.000,1.000,2.382,0.000,7355.403,1058.287,0.000,0.000,0.000,0.985,0.000,1.000,1.000,1.000,333562.266,80.870,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_medium-loss-cascade-failure,coverage,coverage,0,1000,auction,coverage/medium-loss-cascade-failure,1000,1.000,1.000,0.003,0.000,13043.556,5239.318,0.000,0.000,0.000,0.995,0.000,1.000,2.732,1.000,592528.689,185.664,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_medium-loss-multiple-failures,coverage,coverage,0,1000,auction,coverage/medium-loss-multiple-failures,1000,1.000,1.000,0.002,0.000,14606.496,4755.793,0.000,0.000,0.000,0.997,0.000,1.000,1.900,1.000,663771.285,189.675,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_medium-loss-no-failures,coverage,coverage,0,1000,auction,coverage/medium-loss-no-failures,1000,1.000,1.000,0.000,0.000,90.000,13.463,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_medium-loss-single-failure,coverage,coverage,0,1000,auction,coverage/medium-loss-single-failure,1000,1.000,1.000,0.000,0.000,16280.955,3902.531,0.000,0.000,0.000,0.999,0.000,1.000,0.998,1.000,740026.260,191.185,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_partition-prone-cascade-failure,coverage,coverage,0,1000,auction,coverage/partition-prone-cascade-failure,1000,1.000,1.000,0.019,0.000,13043.556,5356.062,0.000,0.000,0.000,0.992,0.000,1.000,2.807,1.000,592528.689,185.574,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
